date,open,high,low,close,volume
2023-11-22,104.51,105.07,103.69,104.38,1222718
2023-11-23,103.87,103.88,101.81,102.84,1001010
2023-11-24,105.09,107.47,105.09,106.28,1439909
2023-11-27,106.61,108.25,106.61,107.43,1134491
2023-11-28,105.64,105.64,102.97,104.3,1493087
2023-11-29,104.79,106.04,103.86,104.95,961253
2023-11-30,104.55,104.55,102.21,103.38,875737
2023-12-01,104.22,107.26,104.22,105.74,910016
2023-12-04,104.64,104.64,102.98,103.81,875619
2023-12-05,103.65,104.79,102.55,103.67,1086630
2023-12-06,104.57,105.72,104.57,105.14,1466229
2023-12-07,106.0,109.16,106.0,107.58,958615
2023-12-08,107.07,107.12,104.46,105.79,832300
2023-12-11,105.78,106.26,104.53,105.4,1205207
2023-12-12,105.34,106.02,103.55,104.78,914292
2023-12-13,104.71,105.45,102.34,103.9,1053074
2023-12-14,106.08,107.5,106.08,106.79,1426675
2023-12-15,106.8,108.35,106.8,107.58,1190436
2023-12-18,106.91,106.91,104.47,105.69,1493786
2023-12-19,107.58,108.99,107.58,108.28,1576895
2023-12-20,113.15,115.25,113.15,114.2,1451495
2023-12-21,115.22,117.02,115.22,116.12,1104828
2023-12-22,115.22,115.22,112.05,113.63,1005314
2023-12-25,113.04,113.04,111.84,112.44,1017798
2023-12-26,113.17,116.3,113.17,114.73,1541801
2023-12-27,114.45,114.45,112.89,113.67,1273783
2023-12-28,114.06,116.58,113.65,115.12,1303696
2023-12-29,115.3,117.92,115.3,116.61,813013
